date,text,c2,c3,c4,c5,c6,c7
date,text,c2,c3,c4,c5,c6,c7
2/1/2019 0:00,RT : به نظر شما وقتی #جرمی_هانت وزیر امورخارجه بریتانیا ، برای آزادی #نازنین_زاغری اینقدر تقلا و پروپاگاندا می کند، در حال ارسا…,981,0,0,144,220,184
2/1/2019 0:00,RT : به نظر شما وقتی #جرمی_هانت وزیر امورخارجه بریتانیا ، برای آزادی #نازنین_زاغری اینقدر تقلا و پروپاگاندا می کند، در حال ارسا…,981,0,0,144,220,184
2/1/2019 0:00,RT : بنر تصاویر دیکتاتور توسط #کانونهای_شورشی به آتش کشیده شد.#مجاهدین ,163,0,1,1589,981,31282
2/1/2019 0:00,RT : مشهد به واسطه وجود حرم مطهر امام رضا(ع) و تولیتش، پتانسیل کم‌نظیری دارد که بعد از تهران این شهر را به دومین شهر مستعد در شب…,60,0,2,380,418,3614
2/1/2019 0:00, عاخه تو مغزشون کردن هرکسی که مثلا از نظام انتقاد کنه یا خلافش حرفی بزنه با سعودی و آمریکاست. همینقدر پرت و متعصبن.,0,1,3,466,708,5421
2/1/2019 0:00,  نرم باشه لطفاً.,0,2,4,381,755,4084
2/1/2019 0:00, ولي پولشو ميداد راضي تر بودم 😂,0,1,5,23,46,406
2/1/2019 0:00,بونگ بونگ بونگ بونگ بونگ بونگ بونگ بونگ بونگ بونگ بونگ بونگ,0,0,6,11532,5,67972
2/1/2019 0:00, :))))))))))))))))) نیست؟؟؟,0,1,7,130,154,843
1/31/2019 23:59, از ساعت ۱۲-۱ به بعد هم اساسی فرو میکنه 🚶🏻‍♂️🚬,0,3,8,353,135,292
1/31/2019 23:59,ولی خودمونیم هیچی اون قر ریزای همراه آهنگ که افقی بصورت خوابیده توی تخت اتفاق میفته نمی‌شه,0,14,9,826,348,14370
1/31/2019 23:59,RT : پیام شادباش نوروزی شاهزاده رضا پهلوی - ۱۳۹۴ ,12,0,10,481,4998,4875
1/31/2019 23:59,امروز به #شیرآباد #زاهدان رفتمبعد از بازدید مدرسه به خانه یکی از دانش آموزانی رفتم که بعد از روشن کردن چراغ دچار آتش سوزی شده بود و برای خاموش کردن خودش دوان دوان به سمت گودال آب فاضلاب کوچه رفته بود و در نهایت فوت شده بوداین اتفاق را هیچ رسانه ای منتشر نکرده... ,1,9,11,1194,832,5359
1/31/2019 23:59,RT : هیچکس نخواهد فهمیدکه در زندگی هر آدمی یکنفر هست که دوست داشتنی ترین پنهان دنیاس. تقدیم به همه اونایی که دوست داشتنی پ…,16,0,12,49,90,275
1/31/2019 23:59,باخ اوغلوم!وسایله قیمت، اینسانلارا دَیَر وئریلیر.قیمتی اولمایان وسیله‌یه زیبیل، دَیَری اولمایان اینسانا گئدرکن قاپینی اؤرت دئییلیر.#Gemide ,0,12,13,802,430,2226
1/31/2019 23:59,مگه قورباغه میتونه ابوعطا می خونه؟,0,20,14,354,96,3400
1/31/2019 23:59,RT : فکر کن دخترت اسمش کوثر باشه و تو هر روز موهاشو شَانِئَکَ هُوَ الأبْتَرُ.,285,0,15,4222,436,38136
1/31/2019 23:59, تیم از تیم کیروش من بهتر داشتیم؟؟ :((((,0,0,16,206,195,1478
1/31/2019 23:59,  سوالمو جواب بده اکانت بدم,0,0,17,755,505,7068
1/31/2019 23:59,RT :  فارغ از مباحث مربوط به هشتگ! بارها تأکید کرده‌ام وجود یک رهبر یا شورا متشکل از گروه‌های مختلف برای هدایت اعت…,18,0,18,2391,2978,10712
1/31/2019 23:59,RT : سر صدا نکنین بذار بخابم فردا پرواز دارم :|| ,19,0,19,757,629,1263
1/31/2019 23:59,مادر بزرگه می روی منبره می گه 40 سال جلو گرفتن...اخه مادر من ...ما تاچش باز کردیم فیلم مای شما رو دیدیم هزار بارم تلوزیونم تکرارشون کرده یه چیزی بگو  که ملت باور کنن#دست_انقلاب_نمک_ندارد,0,0,20,49,130,262
1/31/2019 23:59, از جلو نیاز داشته در تنهایی 😂,0,3,21,396,212,3899
1/31/2019 23:59,RT : مقام انسانیت + عکس #تصویر۴۰ساله ,1,0,22,79,85,296
1/31/2019 23:59, حالا فیلمو لو نده هنوز هیچکس ندیده :))),0,0,23,2062,372,33589
1/31/2019 23:59,RT : #Taheri_Movement  امابرای کسانیکه حرکت با گام های ابراهیمی راآموخته اند،پایان این مراسم،شروعی دیگرستا…,26,0,24,1,2,3
1/31/2019 23:59,RT : رهبر انقلاب بعد از پذیرش رهبری، از آیت الله بهجت راهنمایی می خواهند. ایشان می فرمایند: «الحمدلله شما به مبانی مستحضرید. ا…,6,0,25,11,23,19
1/31/2019 23:59,RT :  اینها وطن پرستانی هستند که همه چیزشان برای آزادی وطنشان و رهایی مردم ایران گذاشتند اما در حالیکه بیشترین…,2,0,26,941,1329,13041
1/31/2019 23:59,RT : دانشجو بودم.استاد سرکلاس گفت:خانم فلانی شما میتونی برا من زعفرون بیاری؟میخوام برا سوغاتی ببرم خارج کشور. خانم فلانی گفت:ح…,29,0,27,177,357,547
1/31/2019 23:59,RT : این جشن توسط زرتشتیان برگزار میشود اما آئین مذهبی نیست سالها پیش از ظهور آئین زرتشت بوده در حد توان خود امروز آجیل و شیری…,8,0,28,871,1445,4178
1/31/2019 23:59,  ازین متناست که برا آواتار تلگرام میذارن 😂😂😂,0,2,29,1812,178,28640
1/31/2019 23:59,RT : وزیر خارجه #پمپئو در گفتگو با شبکه فاکس نیوز: گزارش جامعه اطلاعاتی #آمریکا نشان میدهد که جمهوری اسلامی #ایران توانایی غنی…,473,0,30,39,390,5348
1/31/2019 23:59, لو دادین که😂,0,1,31,2266,1891,5512
1/31/2019 23:59,۴/من اون بازنده ای ام که با تصمیم گرفتناش خودشو از چشم بقیه انداخت و الان هیچ ارزشی نداره.هیچی.همونی که همه فقط آخرش گفتن چرا همچین شد؟!هیچکس نیومد بگه چرا داری اینجور میکنی.هیچکس به فکرش نرسید یک لحظه ازش بپرسه داری کجا میری؟میخوای چی کنی؟اصن داری چی میکنی؟هیچیِ هیچیِ هیچی,0,2,32,75,80,1222
1/31/2019 23:59,  وااای تایید هویییت عاااالییی بود😂😂😂,0,1,33,1087,1632,868
1/31/2019 23:59, خیلی خوب بود اخه😂😂,0,1,34,183,240,90
1/31/2019 23:59, یه کار میلنگه، خونه تون کتاب نداری؟ :/,0,1,35,776,404,4762
1/31/2019 23:59, خیییییییییییلی خوبه لعنتی، خیلیییییی,0,1,36,167,206,1544
1/31/2019 23:59, خواهش میکنم. 🌺,0,1,37,2,3,19
1/31/2019 23:59,RT : اینطوریم‌ که زیاد خونه میمونم دلم میخواد نرم بیرونوقتاییم که زیاد بیرونم دیگه دلم نمیخواد برگردم خونه 😁,2,0,38,126,99,3467
1/31/2019 23:59,RT : وضعیت نوَد درصد کارمندا اول صبح تو شرکت.. ,40,0,39,4314,2456,133105
1/31/2019 23:59,RT : بعد از #چهل_سال_دیکتاتوری مردم بیشترین تاوان رو از بی لیاقتی یک حکومت ضدبشر پس میدناینجا دریا نیست!!!اینجا جاده روستایی…,38,0,40,452,683,90082
1/31/2019 23:59,RT : این محمد است. امدادگر هلال‌احمر و درگیر #سیل_خوزستان. شغل محمد اما این نیست. او کارگر #هفت‌تپه است. یکی از نمایندگان کا…,371,0,41,366,220,4806
1/31/2019 23:59,نارنگیا بین خودشون یه ضرب المثل دارن که میگه:آرزوی بهترین ها را بکن، آماده‌ی بدترین ها باش.,0,25,42,4333,780,16074
1/31/2019 23:59,RT : انگلیس خواستار تحریم‌های اتحادیه اروپا علیه مادورو شد ,2,0,43,67,112,7910
1/31/2019 23:59,RT : 1-شورای نظارت بررفتارنمایندگان باید در اسرع وقت نسبت به رفتار فاجعه آمیز  #محمدباسط_درازهی واکنش قاطع نشان دهد2-از آن شه…,1046,0,0,144,220,184
1/31/2019 23:59,همچنان که به غروب خورشید می نگرمطلوع روی ماهت هوش از سرم میبردچه ماهتابی به  تاریکی شبهایمسراسر وجودم غرق نورتقلبم در جز و مد حضورت در تلاطم ستبتاب بما بتاب همیشه بتابشب و روز بی تو نفس گیرست#اشکبوس,0,0,44,18,149,171
1/31/2019 23:59, خیلی خوبی😂😂😂,0,2,45,657,226,12785
1/31/2019 23:59,برای اولین بار یک سلبریتی را فحش دادم,0,1,46,47,22,574
1/31/2019 23:59, آره خیلی شباهت داره با اقتدار کلیسا ولی از اونجایی فواره چون بلند شود سرنگون گردد ظلم هم بعد اوج گرفتن شروع به تموم شدن میکنه؛ بزرگترین بدی انقلاب ها اینکه میشن صحنه انتقام و عقده گشایی نه اصلاح کار ها ولی خب فعلاً همه دنبالشن چون سریع اتفاق میوفته,0,1,47,302,292,4597
1/31/2019 23:59, لاکن نه تنها برنگرد بلکه بخش فکر هم نکن,0,1,48,3266,3072,38594
1/31/2019 23:59,شب جمعه،شبی ست که #رئال بازی داره ورنه غیر اون سوسول بازیه:||💜👑,4,134,49,499,502,337
1/31/2019 23:59,RT : هر روزتان نوروز، نوروزتان پیروزپاینده ایران ,13,0,10,481,4998,4875
1/31/2019 23:59,دلم داره پاره میشه,0,0,50,146,630,1526
1/31/2019 23:59,حالا هي عكس بزاريد بگيد ميدونم اينجا اينستا نيست ولي...خب ميدونم اينستا نيست و درد ! مرض ! -_-,1,23,51,321,192,13617
1/31/2019 23:59, 134 سرشاخه ی احمق در یک قاب ,0,9,52,3256,4741,3297
1/31/2019 23:59,RT : هدیه احمدی نژاد به کیروش پیش از ترک ایران.دو شخصیت با دورترین شباهت های ظاهری و نزدیک ترین شباهت های اخلاقی و رفتاری#…,13,0,53,758,679,3415
1/31/2019 23:59,RT : بنر تصاویر دیکتاتور توسط #کانونهای_شورشی به آتش کشیده شد.#مجاهدین ,156,0,54,647,802,16152
1/31/2019 23:59,میخوااااااامش😫😭لعنت به خانواده و جامعه-__- ,0,6,55,150,226,1709
1/31/2019 23:59,  واقعا این توییت بوی تفرقه میده یا اینکه به عنوان یه ایرانی حق دارم شورایی که قراره رهبری انقلاب وبدست بگیره بشناسم من هیچگاه دنبال تفرقه نبوده ونیستم میتونی تمام تویتاموبخونی,0,1,56,254,635,46
1/31/2019 23:59,ان اکرمکم عند الله اتقاکم...شو من مسلمین انتم؟؟ اسلام هو معنیه ان تستسلموا الی ما الله یقول... بل انتم تتبعون اهواءکم و ابائکم الاولی فقط! هذه الجاهلیه!,0,0,57,4,12,398
1/31/2019 23:59,  بذار جوهرش خشک شه.,0,3,58,1028,371,13813
1/31/2019 23:59, عوووو این کیلومترس#ش ی بارم صفر شده! از بس کار کشیدن ازش تاج‌خروساش در اومده😂😂😂,0,0,59,73,265,1288
1/31/2019 23:59,RT : از نظر چپها، این که خمینی یک زن رو به حضور بپذیره (که تازه نپذیرفته هم😂) نشون دهنده مترقی بودنشه! اما در آوردن زنها از گونی تو…,80,0,60,246,156,2781
1/31/2019 23:59,از کسشرای اطرافت فرار می‌کنی به اینستاگرام می‌بینی حجم کسشر اونجا بیشتره میای توییتر باز اینجا هم یه سری اکانت کسشر با سوالای کسشر و حرفای کسشر تر میاین جلو جلو چشمتبریم بمیریم راحت شیم ازین حجم کسشر,0,5,61,14,16,172
1/31/2019 23:59, سلام‌چطوری,0,1,62,282,470,237
1/31/2019 23:59,RT : به طور کلی، اگر در هر کاری تجلی الهی دیده شود، ضد شعور آن مثبت و اگر دیده نشود، ضد شعورش منفی خواهد بود حالا می بینیم د…,20,0,63,1005,1682,8499
1/31/2019 23:59,۳/منو میری؟!نمیشه بگم من خودمو بدبخت کردم تو نکن؟نمیشه بگم این کاری که میکنی شاید عینا همون نباشه که من‌کردم ولی خریتش همون جنسه،نکن،خودتو تو چاه ننداز،خاک به سر خودت نکن.نه نباید بگم...چون من اون ادمیم که جوری خراب کردم که وقتی هنوزم یادش میفتم نفس کشیدن برام سخت میشه...,0,2,32,75,80,1222
1/31/2019 23:59,_به عنوان صاحب اثر میشه بگی مفهوم این تابلو چیه؟+برداشت با مخاطبه. من بعد خلق اثر می‌میرم._من به مرگ مولف اعتقادی ندارم.+به کیر مولف که اعتقادی نداری.《یه مکالمه واقعی با یه نقّاش》,2,212,64,2527,1626,11065
1/31/2019 23:59, نمیدونم والا,0,1,65,200,175,508
1/31/2019 23:59,RT : اگر اون داعشی پاش به مجلس میرسید و چند تا از دوستاتون به ملکوت اعلی میرسیدند اونوقت معنی توهم توطئه و دشمن فرضی رو بیشتر درک…,61,0,66,1039,565,1412
1/31/2019 23:59, ای بابا. این رو گرفتم خیلی خوب بود. راضی ام ازش ,0,1,67,1337,1607,16426
1/31/2019 23:59,از توام ای شهره قمر در من و در خود بنگرکز اثر خنده‌ی تو گلشن خندنده شدم😍🍃#مولانا,0,8,68,624,789,1610
1/31/2019 23:59,آقای جمهوری اسلامیتموم بدبختی های همه امون تقصیر توعه,0,3,69,263,151,7264
1/31/2019 23:59,RT : آهای زمستان......حواست را جمع کن! دور تو و تمام عاشقانه هایت خط می کشماگر آقایم سرفه ای کند. ,6,0,70,846,985,13429
1/31/2019 23:59,#SVP#IranDebt#اقتصاد٤٠ سال بعد از نهضت منفور”خمینیستی“ و ”اسلامیستی“ ، انقلاب اسلام، جمهوری اسلام و جمهوری دمکراتیک اسلام در ایران مرد.زنده باد #نهضت_ملی و #قیام_ملی در ایران.#جاویدشاه  و #ای_شاه_ایران_برگردبه_ایران زنده باد انقلاب #ملت_ایران,1,6,71,4201,4872,16568
1/31/2019 23:59,جناب اقای فیفتی سنت قبل از اینکه توسط دشمنان با ۹ تیر مضروب شوند ، طی یک نطق تاریخی و جنجالی دیدگاه خود نسبت به زندگی را اینگونه برای جوانان آینده توصیف کردند :If the roof's on fire let the MOTHERFUCKER burn !:))))))),1,31,72,796,891,13209
1/31/2019 23:59,   همه میدونن خیلی بی چاک و دهنه,1,2,73,198,186,358
1/31/2019 23:59,در مورد مجلس سوم:یه نکته ای هم که تو فیلم هستتقاضای مسیولین امنیتی و سپاه برای ورود به مجلسهکه خیلی پرداخت شجاعانه‌ای هست.آنچنان که حتی محسن رضایی در باختران و قاسم سلیمانی در کرمانمشغول تبلیغ و هماهنگی برای افراد دلخواه‌شون به مجلس بودن,0,0,74,143,279,2918
1/31/2019 23:59,RT : مراقب این سکسی نویس‌ها هم باشید اینا یه شبه با حجاب میشن و هشتگ میزنن برای حجاب پشت این قبیل اکانت‌ها رقاص‌های بیت رهبری نشس…,44,0,75,25,76,282
1/31/2019 23:59,RT : اشتباهات بهترین کمکی هستن که وجود داره.,30,0,76,2554,96,5664
1/31/2019 23:59,RT : کولبر مفقود شدە در بانە بازداشت شدەاست#KurdishLivesMatter_Kolbar,6,0,77,584,345,6155
1/31/2019 23:59,۲/حقیقته و انقدر برام‌تلخ تموم شده که دلم نمیخواد هیچکس درگیرش بشه.ولی انگار که تو گوش خر یاسین بخونی...نمیشنوه که‌نمیشنوهاین وسط فقط حرص و جوشش برای من‌می مونه و این حال خراب که کم مونده پس بیفتم.چون ریدم به زندگیم پس صلاحیت ندارم به کسی بگم داری اشتباه میکنی؟داری راه رفته,0,2,32,75,80,1222
1/31/2019 23:59,          هرگز حدیث حاضر غایب شنیده ای؟  منم نشنیدم!حالا غایب چرا؟,0,3,78,2038,2425,8427
1/31/2019 23:59,RT : #نماینده_سراوان بجای عذرخواهی،درکمال وقاحت علت درگیری لفظی خود با کارمند گمرک را مباحث قومی ومذهبی اعلام میکندحال آنکه آن…,833,0,0,144,220,184
1/31/2019 23:59, وقتی زنده ها بقیه رو کشتن، واسه کی دیگه هوایی بزنن ؟ 😁,0,1,79,582,229,4026
1/31/2019 23:59, ئافەرین!!,0,2,80,303,836,3027
1/31/2019 23:59,غَمِت کوه روح منو زخمی کرده...,1,59,81,1785,1604,616
1/31/2019 23:59,ببینید آدم یک غلطی میکنه یک تاوانی هم‌پس میده براش،گاهی حتی بی حساب و نامحدود.ولی اینکه من‌امشب با یه موضوع به ظاهرنا مربوط یادش بیفتم و انقدر حرص بخورم که به مرز سکته برسم دیگه خیلی نامردیه.کاش این آدم میفهمید.کاش می فهمید چیزی که میگم همش،تمام و کمال عین,0,2,32,75,80,1222
1/31/2019 23:59,"RT : چه قدر این دوتا کصخل خوبن  ="")))))))))) ",7,0,82,1187,1115,19138
1/31/2019 23:59,RT : تیمسار #مهدی  #رحیمی  را مثل #بابک #خرمدين  کشتند،نشر دهید،#ننگ  بر #شورشیان57 ,70,0,83,143,180,262
1/31/2019 23:59,RT : تاریخ فلسفی قانون اجتماعی را در چند بند وصل کرده است که یکی از آنها به زبان عامی میگوید دروغگو دشمن خداست ،حال مرور کنیم…,12,0,84,167409,13494,64884
1/31/2019 23:59, قرار بود دو دستی بزنیم,0,0,85,73,86,181
1/31/2019 23:59,فلیسه! چرا می‌کوشیم آدم‌ها را تغییر دهیم؟ این درست نیست. آدم باید یا دیگران را همان طور که هستند بپذیرد، یا همان طور که هستند به حال خودشان بگذارد.#فرانتس_کافکا نامه به فلیسه,16,254,86,14386,656,80478
1/31/2019 23:59, 😔😔😔😔نمیشه بری حرف بزنی؟,0,0,87,148,213,1551
1/31/2019 23:59,به علی گریه کنم یا به حسین یا به رضااز کجاش بگیم از کدومش؟#تصویر۴۰ساله,1,37,88,2695,644,70655
1/31/2019 23:59,RT : پسر عمه م چهار سال از من کوچیکتره داره زن میگیره. من هنوز دارم مشق مینویسم,3,0,89,7646,331,60342
1/31/2019 23:59,مبارز وطن سرسخت ترین،  دلیرترین و فداکارترین مبارزی است که برای آزادی و استقلال وطن تا آخرین قطره خون خود مبارزه می کند#مشق_24#چهل_سالگی_انقلاب,4,2,90,10,11,4
1/31/2019 23:59, بس که احمق و نفهمن یه مشت عقب افتاده فسیل شدن راس امور وقتی سرمنشا خمینی خدعه گر بود میخوای از انشعاباتش چی در بیاد,0,0,91,166,299,294
1/31/2019 23:59,عجب کراشی رو پیتر پن داشتم.,0,27,92,894,491,16891
1/31/2019 23:59,RT : کاش لااقل اسم فجر رو از روی اون جشنواره کذایی برمیداشتن!نظر شما چیه؟,35,0,93,886,904,9910
1/31/2019 23:59, هرکه در این درگهه مقرب تر استجام بلا بیشترش میدهند  🚶🚶🚶 😢,0,1,94,1408,1650,1516
1/31/2019 23:59,RT : این محمد است. امدادگر هلال‌احمر و درگیر #سیل_خوزستان. شغل محمد اما این نیست. او کارگر #هفت‌تپه است. یکی از نمایندگان کا…,319,0,95,653,1259,15386
1/31/2019 23:59,  بیا خودت اون نود قشنگات،ممه فوکولیا بده بشوره ببره پایین اینو😖,0,2,96,5519,835,47263
1/31/2019 23:59,RT : دوستان،عزیزان بواسطه یه انجمن حمایتی برای کسانی که نیاز به #مشاور ، #روانشناس و #روان_درمانگر دارند و بضاعت مالی ندارند،جلسات…,4,0,97,435,423,270
1/31/2019 23:59,پسر خیلی کسخل خوبیه :))) ,0,1,98,333,918,21463
1/31/2019 23:59,عطر تو ابی منو پرت می‌کنه به ۲۱ سال پیش، همین ساعت‌های شب توی قطار که داشتیم می‌رفتیم اردوی مشهد. چه خوشبخت جلوه می‌کردم با اون واکمن سونی و کاست مکسل ۹۰ دقیقه‌ای توش و هدفون!,0,7,99,160,211,3162
1/31/2019 23:59,  ما سایپا و ایرانخودرو داریم تلاش نکن ادای اون روباه هایِ مکار رو دربیاری :)))),0,0,100,10,86,2
1/31/2019 23:59,RT : #رشتو۱خبرگزاری فرانسه از نهایی شدن #SPV برای مبادلات تجاری با رژیم خبر داد.اروپا از ۸ماه پیش قول راه‌اندازی این سازوکار را…,66,0,1,1589,981,31282
1/31/2019 23:59, اره ولی یه عمر طول میکشه بلند شه لامصب :(,0,0,101,531,538,4332
1/31/2019 23:59,حاجی جون، بکس حوزه الان تمرکز ندارند، مشت مشت موهاشونو از زیر عمامه می‌کنند!. اعصاب کجا بود آخه؟. اونایی که سند رسمی زدی هم باید بیاری پس بدی وگرنه می‌ری دادگاه. فقه. وقف. اوقاف. انتشار ۱۶/۱۰/۱۳۹۷. ,0,1,102,6108,3597,122798
1/31/2019 23:59, تو قابلمه پختن خیلی هنر میخواد:(,0,0,103,3679,432,35553
1/31/2019 23:59, خیلی جدیدا پای توییتریا. معتاد شدی.یکمم بکار مملکت برس.,0,0,104,20,71,88
1/31/2019 23:59,RT : ضرورت تشکیل کانونهای شورشی چیست؟: پرویزکریمیان#چهل_سال_دیکتاتوری#براندازم #اعتراضات_سراسری  https://t…,23,0,105,474,664,13066
1/31/2019 23:59, خسته هم شدی,0,0,106,2423,124,28100
1/31/2019 23:59,RT : شورا خوب است مخصوصا اگر انقلابی باشد.#تشکیل_شورای_انقلاب,6,0,107,47,69,1293
1/31/2019 23:59,RT : دکتری که من رو در ۶ سالگی ختنه کرد الآن نماینده‌ی مجلسه. فکر کنم من تنها کسی باشم که در تاریخ ایران واقعا کیرش رو داده دست…,164,0,15,4222,436,38136
1/31/2019 23:59,RT : دیشب برای شام رفتیم یه غذاخوری سادهیهویی دختربچه ای اومدجلومون وغذاخواستیکی ازرفقا بهش گفت چه دخترخانوم با #حجاب ی ماشاء ا…,43,0,108,4809,4666,30661
